Year,carrier_lg,total_passengers,year_total,market_share
1996,QQ,19092,2002008,0.9536425428869415
1996,QX,457,2002008,0.022827081610063495
1996,RU,3864,2002008,0.19300622175335963
1996,T3,136,2002008,0.006793179647633776
1996,TB,5,2002008,0.0002497492517512417
1996,TW,40632,2002008,2.0295623194312906
1996,TZ,28113,2002008,1.4042401428965319
1996,U2,259,2002008,0.012937011240714323
1996,UA,338514,2002008,16.908723641463972
1996,UK,7,2002008,0.00034964895245173845
1996,US,229059,2002008,11.441462771377536
1996,W7,9365,2002008,0.46778034853007583
1996,WN,272465,2002008,13.609585975680416
1996,WV,4342,2002008,0.21688225022077837
1996,YV,1373,2002008,0.068581144530891
1996,YX,9116,2002008,0.455342835792864
1996,ZW,130,2002008,0.006493480545532285
1997,9N,1327,2141868,0.061955265217090875
1997,AA,310850,2141868,14.513032549158025
1997,AS,53925,2141868,2.5176621528497556
1997,CO,213008,2141868,9.944963928682814
1997,DH,11,2141868,0.0005135703974287865
1997,DL,282901,2141868,13.208143545727374
1997,F9,1756,2141868,0.08198451071681355
1997,FF,2310,2141868,0.10784978346004516
1997,FL,5181,2141868,0.24189165718895844
1997,HP,43044,2141868,2.0096476533567893
1997,HQ,10,2141868,0.00046688217948071496
1997,J7,4457,2141868,0.20808938739455465
1997,JI,11322,2141868,0.5286040036080655
1997,KP,1737,2141868,0.08109743457580018
1997,KW,7284,2141868,0.34007697953375277
1997,NJ,1039,2141868,0.04850905844804629
1997,NK,3348,2141868,0.15631215369014337
1997,NW,159013,2141868,7.424033600576693
1997,OO,4,2141868,0.00018675287179228598
1997,OP,3376,2141868,0.15761942379268937
1997,PA,3089,2141868,0.14421990524159284
1997,QQ,17167,2141868,0.8014966375145434
1997,QX,435,2141868,0.0203093748074111
1997,RU,6512,2141868,0.3040336752778416
1997,TW,42787,2141868,1.997648781344135
1997,TZ,26115,2141868,1.2192628117138873
1997,U2,285,2141868,0.013306142115200375
1997,UA,363386,2141868,16.96584476727791
1997,UK,1,2141868,4.6688217948071494e-05
1997,US,224554,2141868,10.484026093111247
1997,W7,4308,2141868,0.201132842920292
1997,W9,607,2141868,0.028339748294479397
1997,WN,328291,2141868,15.327321758390339
1997,WV,2368,2141868,0.1105577001010333
1997,XJ,18,2141868,0.0008403879230652869
1997,YV,297,2141868,0.013866400730577235
1997,YX,15468,2141868,0.7221733552207699
1997,ZW,277,2141868,0.012932636371615805
1998,AA,309958,2176741,14.239544346341617
1998,AS,67411,2176741,3.0968773960705476
