airport_1,airport_2,total_passengers,avg_fare,avg_distance,avg_fare_per_mile,avg_fare_gap
CMH,DAL,7678,218.25923076923075,926.5096153846154,0.23556136711452927,11.164615384615384
CMH,DCA,37473,165.00542372881355,336.43220338983053,0.49045402584284736,20.883728813559323
CMH,DEN,21215,221.2175,1154.0416666666667,0.19168979376583362,61.97416666666666
CMH,DFW,47639,239.48881355932204,926.5677966101695,0.258468667282,67.55550847457627
CMH,DTW,93,241.42,155.0,1.5575483870967741,33.17999999999998
CMH,EFD,64,189.60676470588237,1001.0,0.18941734735852384,0.0
CMH,EWR,40268,236.52347457627118,519.0,0.4557292381045687,45.64957627118644
CMH,FLL,37744,156.5863559322034,990.0,0.15816803629515494,17.76906779661017
CMH,HOU,10525,202.01389830508475,1000.9491525423729,0.20182394664657377,11.06779661016949
CMH,HPN,1634,225.9122033898305,519.0,0.43528362888213973,22.693983050847457
CMH,IAD,7771,183.64957627118645,336.43220338983053,0.5458416214018675,31.372288135593223
CMH,IAH,23432,251.18381355932203,1000.9491525423729,0.2509471083154134,83.12296610169491
CMH,ISP,2918,179.3708474576271,519.0,0.34560856928251854,6.428389830508475
CMH,JFK,11218,186.4264406779661,519.0,0.3592031612292218,14.11864406779661
CMH,LAS,27535,217.342,1771.08,0.12271862582897523,81.3368
CMH,LAX,49453,226.02483050847457,1995.5677966101696,0.11326792368135447,23.942966101694914
CMH,LGA,63226,205.24322033898306,519.0,0.3954589987263643,29.983898305084747
CMH,LGB,1035,237.21330508474574,1995.5677966101696,0.11887349766437424,13.475932203389831
CMH,MCI,4483,129.38479999999998,633.0,0.2043993680884676,10.3544
CMH,MCO,43818,154.2975925925926,802.0,0.19239101320772145,43.10481481481481
CMH,MIA,19876,185.73838983050848,990.0,0.1876145351823318,16.379661016949154
CMH,MSP,13048,267.9428571428572,626.0612244897959,0.427988744942311,88.33102040816325
CMH,MSY,388,181.925,806.0,0.2257133995037221,45.029999999999994
CMH,MYR,216,135.14000000000001,488.0,0.27692622950819673,29.835
CMH,NYC,22,176.90666666666667,519.0,0.34086062941554274,9.953333333333335
CMH,OAK,9597,238.10470085470087,2120.5726495726494,0.1122853980677631,62.464017094017095
CMH,ONT,8614,239.34237288135594,1995.5677966101696,0.1199447717064476,19.34008474576271
CMH,PDX,66,208.35,2034.0,0.10243362831858407,22.049999999999983
CMH,PHL,11918,284.2578048780488,405.9512195121951,0.700226553518956,112.28975609756098
CMH,PHX,29843,242.33761194029853,1670.2388059701493,0.14509610442289675,15.719701492537311
CMH,RDU,208,176.69,362.0,0.4880939226519337,25.629999999999995
CMH,RSW,21074,177.15203703703702,930.0,0.19048606133014734,26.58203703703704
CMH,SAN,6058,269.703125,1964.0,0.137323383401222,9.193750000000001
CMH,SEA,10323,264.5119512195122,2016.0975609756097,0.13120184496673742,27.889756097560976
CMH,SFO,25152,253.82589743589745,2120.5726495726494,0.11970154395182417,44.808632478632475
CMH,SJC,8887,251.65034188034187,2120.5726495726494,0.11867632045705089,21.734700854700854
CMH,SLC,291,235.6,1528.0,0.15418848167539267,62.21000000000001
CMH,SNA,11364,258.8441525423729,1995.5677966101696,0.12971531110732573,23.891610169491525
CMH,SRQ,1888,200.79363636363635,869.0,0.23106287268542733,0.4436363636363632
CMH,STL,5173,172.2536,409.08,0.42110658715486915,5.1240000000000006
CMH,SWF,737,215.06509433962265,519.0,0.4143836114443596,18.77367924528302
CMH,TPA,62478,145.60152542372882,829.0338983050848,0.1756301546604616,14.877033898305084
CMH,WAS,5,156.55916666666667,336.0,0.4659499007936508,43.45416666666667
COS,AZA,47,107.175,551.0,0.19450998185117968,0.0
COS,BUR,1725,214.27290322580646,833.0,0.25723037602137633,14.514193548387098
COS,BWI,7456,253.81052083333336,1503.6979166666667,0.16879822939449116,47.93385416666666
COS,DAL,2564,199.1942105263158,602.6315789473684,0.3305276656294212,5.388552631578947
COS,DCA,9416,249.96760416666666,1503.6979166666667,0.166240163179846,20.287499999999998
COS,DFW,29810,186.07529914529917,598.9059829059829,0.31068506167560317,15.333076923076922
COS,DTW,128,189.44,1146.0,0.16530541012216404,0.0
COS,EFD,39,170.40928571428572,836.0,0.20383885850991115,0.0
COS,EWR,5569,219.72612903225806,1673.8387096774193,0.13131924891231356,38.751290322580644
COS,FLL,49,212.76999999999998,1679.0,0.1267242406194163,8.399999999999991
COS,HOU,510,158.35035714285712,834.4285714285714,0.18980180458548498,20.821785714285713
COS,HPN,110,347.0893548387097,1673.8387096774193,0.20737082606092927,71.12387096774194
COS,IAD,10525,285.9969791666667,1503.6979166666667,0.19019847946320714,84.09677083333334
COS,IAH,7420,161.4375,834.4285714285714,0.19353303766687052,17.128214285714286
COS,ISP,33,246.7848148148148,1678.111111111111,0.14706045663362474,33.39518518518519
COS,JFK,330,215.29709677419356,1673.8387096774193,0.12865794121769206,15.960645161290321
COS,LAS,1116,110.49666666666667,604.0,0.18294150110375276,17.026666666666667
COS,LAX,18151,204.31677419354838,833.0,0.2452782403283894,43.364838709677414
COS,LGA,2391,245.6051612903226,1673.8387096774193,0.14672131539976527,67.30612903225806
COS,LGB,1378,181.97870967741935,833.0,0.2184618363474422,7.616774193548386
COS,MCI,773,94.335,538.0,0.1753438661710037,0.0
COS,MCO,926,154.7925,1520.0,0.10183717105263157,0.0
COS,MIA,358,123.52000000000001,1679.0,0.07356759976176296,0.14999999999999858
COS,NYC,7,262.315,1678.0,0.15632598331346842,110.24875
COS,OAK,1545,206.20422222222223,963.0,0.21412691819545404,44.840666666666664
COS,ONT,4448,199.54494623655916,833.0,0.23954975538602538,15.317956989247314
COS,PHX,7690,134.87275862068967,551.0,0.2447781463170411,15.62758620689655
COS,SEA,405,111.45,1067.0,0.10445173383317713,0.0
COS,SFO,6236,180.89244444444444,963.0,0.18784262143763703,50.354444444444454
COS,SJC,5166,216.73333333333332,963.0,0.22506057459328488,52.20333333333333
COS,SNA,4771,209.2462365591398,833.0,0.2511959622558701,17.962365591397848
COS,SWF,73,262.9016666666667,1673.7,0.15720992242049686,54.583
COS,WAS,13,246.35625,1504.0,0.16380069813829787,20.185000000000006
CRP,DAL,20096,133.7633962264151,354.0,0.37786270120456245,1.2679245283018865
CRP,DFW,15335,152.1938679245283,354.0,0.42992618057776355,11.933867924528302
CRP,EFD,27,96.9771052631579,201.0,0.4824731605132233,0.0
CRP,HOU,14449,104.97776315789473,201.0,0.5222774286462425,0.0
CRP,IAH,6554,113.53078947368421,201.0,0.5648297983765384,1.6188157894736843
CVG,AZA,2784,105.3821052631579,1569.0,0.06716514038442185,0.0
CVG,BDL,287,264.245,661.0,0.3997655068078668,55.34000000000002
CVG,BUR,542,378.81560344827585,1900.0,0.1993766333938294,42.247068965517244
